new_price,old_price,discount,sold,vn_name,en_name,url_thumbnail,discount_percentage
112000.0,150000.0,25%,990.0,Sữa Dưỡng Thể Vaseline Sáng Da Chuyên Sâu Ban Đêm 330ml,GlutaHya Serum Burst UV Lotion Dewy Radiance,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-serum-vaseline-gluta-hya-sang-da-chuyen-sau-ban-dem-330ml_8aVEHBzsg2sryjDj_img_380x380_64adc6_fit_center.png,25.333333333333336
109000.0,180000.0,39%,948.0,Nước Hoa Hồng Simple Làm Dịu Da  Cấp Ẩm 200ml,Kind to Skin Soothing Facial Toner,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-nuoc-hoa-hong-simple-danh-cho-da-nhay-cam-200ml_1BkMZjrfHvtkHYYS_img_380x380_64adc6_fit_center.png,39.44444444444444
303000.0,370000.0,18%,293.0,Bộ Gội Xả TRESemmé Keratin Vào Nếp Suôn Mượt 640g620g,Keratin Smooth Shampoo  Conditioner,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-tresemme-keratin-smooth-vao-nep-muot-ma-dau-goi-640g-dau-xa-620g_rfohrSXsCtjqoDzF_img_380x380_64adc6_fit_center.png,18.10810810810811
95000.0,132000.0,28%,875.0,Gel Rửa Mặt Simple Thanh Khiết Giảm Bóng Nhờn 150ml,Purifying Gel Wash,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-rua-mat-simple-kiem-dau-ngua-mun-cho-da-mun-150ml_2iwHVtrRtzaCpzyW_img_380x380_64adc6_fit_center.png,28.030303030303028
136000.0,203000.0,33%,549.0,Serum Dưỡng Thể Vaseline Chống Nắng Sáng Da 300ml Mới,Healthy Bright Daily Protection  Brightening Serum SPF 50 PA,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-serum-chong-nang-co-the-vaseline-duong-sang-da-300ml-moi_q2Fo4fog5GcZcoCC_img_380x380_64adc6_fit_center.png,33.004926108374384
145000.0,198000.0,27%,512.0,Nước Tẩy Trang Simple Làm Sạch Trang Điểm Vượt Trội 400ml,Kind To Skin Micellar Cleansing Water,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-nuoc-tay-trang-simple-lam-sach-trang-diem-va-cap-am-400ml_ASVstGNujUHqxMZv_img_380x380_64adc6_fit_center.png,26.767676767676768
150000.0,234000.0,36%,472.0,Sữa Tắm Lifebuoy Detox Than Hoạt Tính  Cám Gạo 800g,Unknown,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-lifebuoy-detox-than-hoat-tinh-cam-gao-800g-1718681642_img_380x380_64adc6_fit_center.jpg,35.8974358974359
223000.0,589000.0,62%,302.0,Combo Simple Chăm Sóc Cho Da Sạch Khỏe Đàn Hồi 3 Món,Micellar Cleansing Water 200ml  Refreshing Facial Wash Gel 150ml  Soothing Facial Toner 200ml,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422203645-1733714490_img_380x380_64adc6_fit_center.jpg,62.13921901528013
136000.0,199000.0,32%,495.0,Smoothie Tẩy Da Chết Dove Hương Hoa Anh Đào 298g,Moisturizing Body Scrub Sakura Fragrance,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-smoothie-tay-da-chet-dove-huong-hoa-anh-dao-298g_ophCG831SZbpTak6_img_380x380_64adc6_fit_center.png,31.65829145728643
133000.0,195000.0,32%,498.0,Sữa Dưỡng Thể Vaseline GlutaHya Nâng Tông Tức Thì 300ml,Healthy Bright GlutaHya Body ToneUp UV Lotion,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-duong-the-vaseline-gluta-hya-nang-tong-tuc-thi-300ml_mk5mZxNmPzgom8s1_img_380x380_64adc6_fit_center.png,31.794871794871792
726000.0,1300000.0,44%,90.0,Bàn Chải Điện PS S100 Pro Sạch Mảng Bám Tới 10X Màu Xanh,S100 Pro Expertcare,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-ban-chai-dien-p-s-s100-pro-cong-nghe-song-am-mau-xanh-ombre_cNLuTjZCmhfDw6yK_img_380x380_64adc6_fit_center.png,44.15384615384615
76000.0,105000.0,28%,840.0,Serum Ngăn Mùi Dove Giúp Da Sáng Mịn Đều Màu 40ml,Deodorant Dry Serum 3% Niacinamide  10X Collagen,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-khu-mui-dove-collagen-b3-duong-sang-deu-mau-40ml_f5DsTn81VR3gbdTU_img_380x380_64adc6_fit_center.png,27.61904761904762
143000.0,214500.0,33%,401.0,Sữa Tắm Lifebuoy Detox Thảo Dược  Hoa Sen 800g,Unknown,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-lifebuoy-detox-thao-duoc-hoa-sen-800g-1718682474_img_380x380_64adc6_fit_center.jpg,33.33333333333333
91000.0,139000.0,35%,585.0,Sữa Tắm Hazeline Sáng Mịn Dưỡng Ẩm Yến Mạch  Dâu Tằm 1kg,Unknown,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422208316-1689233754_img_380x380_64adc6_fit_center.jpg,34.53237410071942
158000.0,234000.0,32%,327.0,Sữa Tắm Lifebuoy Detox Muối Hồng  Rau Má 800g,Unknown,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-lifebuoy-detox-dau-tram-tra-muoi-hong-800g-1720692667_img_380x380_64adc6_fit_center.jpg,32.47863247863248
200000.0,264000.0,24%,219.0,Combo 2 Sữa Rửa Mặt Simple Giúp Da Sạch Thoáng 150ml,Kind To Skin Refreshing Facial Wash Gel,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-sua-rua-mat-simple-giup-da-sach-thoang-150ml_EdfDMsTUHJtE2ypW_img_380x380_64adc6_fit_center.png,24.242424242424242
65000.0,82000.0,21%,609.0,Sáp Dưỡng Môi Vaseline Hồng Xinh 7g,Lip Therapy Rosy Lips,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sap-duong-moi-hong-xinh-vaseline-7g-1726631121_img_380x380_64adc6_fit_center.jpg,20.73170731707317
