new_price,old_price,discount,sold,vn_name,en_name,url_thumbnail
760.000 ₫,950.000 ₫,20%,3,Sữa Chống Nắng Elixir Dưỡng Da Ngừa Lão Hóa 35ml,Daily UV Protector SPF50+ PA++++,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-chong-nang-elixir-duong-da-ngua-lao-hoa-35ml_MKUVGTLcMgwnSKww_img_380x380_64adc6_fit_center.png
974.000 ₫,1.300.000 ₫,25%,3,Kem Dưỡng d program Ngăn Ngừa Lão Hóa 45g,Vitalizing Cream,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422214012-1705048559_img_380x380_64adc6_fit_center.png
200.000 ₫,,,10,"[Mini] Serum Elixir Hỗ Trợ Săn Chắc Da, Ngừa Lão Hóa 18ml",Superieur Design Time Serum,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-gift-serum-18ml-ho-tro-san-chac-da-ngua-lao-hoa-elixir-1718091878_img_380x380_64adc6_fit_center.jpg
951.000 ₫,1.150.000 ₫,17%,3,Combo 2 Gel Chống Nắng Anessa Dưỡng Sáng Nâng Tông 90g (Mới),Brightening Uv Sunscreen Gel N SPF50+ PA++++,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-gel-chong-nang-anessa-duong-sang-nang-tong-90g-moi_3KJgZYH19X5yasCD_img_380x380_64adc6_fit_center.png
1.592.000 ₫,1.990.000 ₫,20%,1,Kem Dưỡng Elixir Retinol Hỗ Trợ Giảm Nếp Nhăn 15g,Retinol Power Wrinkle Smoothing Cream,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-duong-elixir-retinol-ho-tro-giam-nep-nhan-15g_DcjNeo5bpzPBX5at_img_380x380_64adc6_fit_center.png
775.000 ₫,990.000 ₫,22%,2,"Sữa Chống Nắng Elixir Hỗ Trợ Dưỡng Sáng, Ngừa Lão Hóa 35ml",Daily Brightening UV Protector SPF50+ PA++++,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-chong-nang-elixir-ho-tro-duong-sang-ngua-lao-hoa-35ml_KQVsvJsvKpfzZiYf_img_380x380_64adc6_fit_center.png
751.000 ₫,1.000.000 ₫,25%,2,Sữa Dưỡng d program Dưỡng Sáng & Làm Dịu Da 100ml,Whitening Clear Emulsion,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-419200009-1705114701_img_380x380_64adc6_fit_center.jpg
394.000 ₫,590.000 ₫,33%,4,BB Chống Nắng Trang Điểm d program Tông Tự Nhiên 30ml,Allerdefense Essence BB Medium SPF50+ PA+++,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422206143-1705051571_img_380x380_64adc6_fit_center.jpg
593.000 ₫,790.000 ₫,25%,2,Nước Cân Bằng d program Dưỡng Sáng Da 125ml,Whitening Clear Lotion,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-419200008-1705114975_img_380x380_64adc6_fit_center.jpg
367.000 ₫,490.000 ₫,25%,3,Nước Tẩy Trang d program Dành Cho Da Nhạy Cảm 180ml,Essence In Cleansing Water,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422200366-1705055245_img_380x380_64adc6_fit_center.jpg
935.000 ₫,1.100.000 ₫,15%,1,Sữa Dưỡng d program Cải Thiện Các Dấu Hiệu Lão Hóa 100ml,Vital Act Emulsion,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-419200003-1705116707_img_380x380_64adc6_fit_center.jpg
891.000 ₫,990.000 ₫,10%,1,"Mặt Nạ Ngủ Elixir Phục Hồi Độ Ẩm, Hỗ Trợ Dưỡng Sáng Da 105g",Sleeping Clear Pack,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-mat-na-ngu-elixir-phuc-hoi-do-am-ho-tro-duong-sang-da-105g_tAeqPW9vxzr3Mxw2_img_380x380_64adc6_fit_center.png
891.000 ₫,990.000 ₫,10%,1,"Mặt Nạ Ngủ Elixir Phục Hồi Độ Ẩm, Ngừa Lão Hóa 105g",Sleeping Gel Pack,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-mat-na-ngu-elixir-phuc-hoi-do-am-ngua-lao-hoa-105g_qBygo111GvNW5ds4_img_380x380_64adc6_fit_center.png
431.000 ₫,550.000 ₫,22%,2,Sữa Chống Nắng Elixir Dưỡng Da Kiềm Dầu 35g,Reflet Balancing Oshiroi Milk SPF50+ PA++++,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-chong-nang-elixir-duong-da-kiem-dau-35g_2YfPLA8c3tFyvBzG_img_380x380_64adc6_fit_center.png
1.034.000 ₫,1.285.000 ₫,20%,1,Combo 3 Sữa Chống Nắng Anessa Dưỡng Da Kiềm Dầu 60ml+20mlx2 (Bản Mới 2024),Perfect UV Sunscreen Skincare Milk N SPF50+ PA++++,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-3-sua-chong-nang-anessa-duong-da-kiem-dau-60ml-20mlx2-ban-moi-2024_GuxsN6jC99tn1y9z_img_380x380_64adc6_fit_center.png
200.000 ₫,,,4,"[Mini] Sữa Dưỡng Da Elixir Hỗ Trợ Dưỡng Sáng, Ngừa Lão Hóa 18ml",Brightening Moisture Emulsion,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-gift-sua-duong-da-18ml-ho-tro-duong-sang-ngua-lao-hoa-elixir-1718092828_img_380x380_64adc6_fit_center.jpg
671.000 ₫,960.000 ₫,30%,2,Dưỡng Chất d program Ngăn Lão Hóa Sớm 45ml,Intense Enriching Serum,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422214011-1705049678_img_380x380_64adc6_fit_center.png
755.000 ₫,890.000 ₫,15%,1,"Sữa Dưỡng d program Cho Da Dầu, Hỗn Hợp 100ml",Balance Care Emulsion,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-419200014-1705112131_img_380x380_64adc6_fit_center.jpg
287.000 ₫,380.000 ₫,24%,96,Kem Dưỡng Da Pond's Ngăn Ngừa Lão Hoá Cho Ban Đêm 45g,Age Miracle Night Cream,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-duong-da-pond-s-ngan-ngua-lao-hoa-cho-ban-dem-50g-1713945200_img_380x380_64adc6_fit_center.jpg
130.000 ₫,150.000 ₫,13%,114,Kem Dưỡng Pond's Sáng Hồng Rạng Rỡ Cho Ban Đêm 45g,White Beauty Super Night Cream,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-duong-da-pond-s-sang-hong-rang-ro-cho-ban-dem-50g-1715142302_img_380x380_64adc6_fit_center.jpg
311.000 ₫,380.000 ₫,18%,45,Kem Dưỡng Da Pond's Ngăn Ngừa Lão Hoá Cho Ban Ngày 45g,Age Miracle Day Cream SPF 18 PA++,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-duong-da-pond-s-ngan-ngua-lao-hoa-cho-ban-ngay-50g-1713945546_img_380x380_64adc6_fit_center.jpg
130.000 ₫,150.000 ₫,13%,76,Kem Dưỡng Pond's Sáng Hồng Rạng Rỡ Cho Ban Ngày 45g,White Beauty Super Cream SPF 30 PA+++,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-duong-da-pond-s-sang-hong-rang-ro-cho-ban-ngay-50g-1715142219_img_380x380_64adc6_fit_center.jpg
118.000 ₫,145.000 ₫,19%,68,Nước Tẩy Trang Pond's Vitamin Và Hoa Hồng Sáng Da 400ml,Micellar Water Vitamin Brightening Rose,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422203470-1731060222_img_380x380_64adc6_fit_center.jpg
193.000 ₫,246.000 ₫,22%,40,Serum Pond's Dưỡng Sáng Mịn Và Làm Mờ Thâm Da 30g,Bright Beauty 3D Glow Serum,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-tinh-chat-pond-s-duong-sang-min-va-lam-mo-tham-da-30g-1724297140_img_380x380_64adc6_fit_center.jpg
111.000 ₫,121.000 ₫,8%,64,Sữa Rửa Mặt Pond's Age Miracle Ngăn Ngừa Lão Hóa 100g,Age Miracle Youthful Glow Facial Treatment Glow,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-rua-mat-pond-s-age-miracle-ngan-ngua-lao-hoa-100g-1724296568_img_380x380_64adc6_fit_center.jpg
290.000 ₫,345.000 ₫,16%,17,Dưỡng Chất Pond's Ngăn Ngừa Lão Hóa Chuyên Sâu 30ml,Age Miracle Ultimate Youth Serum,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-duong-chat-pond-s-ngan-ngua-lao-hoa-chuyen-sau-30ml-1724297648_img_380x380_64adc6_fit_center.jpg
72.000 ₫,76.000 ₫,5%,66,"Nước Hoa Hồng Pond's Sáng Da, Cân Bằng pH 150ml",Bright Beauty Brightening Toner,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-nuoc-hoa-hong-pond-s-white-beauty-lam-sang-da-150ml-1708931578_img_380x380_64adc6_fit_center.png
128.000 ₫,145.000 ₫,12%,19,"Nước Tẩy Trang Pond's Vitamin, Tinh Than Tre Sạch Sâu 400ml",Micellar Water Vitamin D-Toxx Charcoal,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-nuoc-tay-trang-pond-s-vitamin-tinh-than-tre-sach-sau-400ml-1708931509_img_380x380_64adc6_fit_center.png
345.000 ₫,391.000 ₫,12%,,Combo Pond's Nước Tẩy Trang Sạch Sâu 400ml + Tinh Chất Sáng Da 30g,Micellar Water Vitamin D-Toxx Charcoal + Bright Beauty 3D Glow Serum,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-pond-s-nuoc-tay-trang-sach-sau-400ml-tinh-chat-sang-da-30g-1708931283_img_380x380_64adc6_fit_center.png
251.000 ₫,360.000 ₫,30%,,Tinh Chất Pond's Age Miracle Ngăn Ngừa Lão Hóa 30ml,Age Miracle Double Action Serum,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-tinh-chat-pond-s-age-miracle-ngan-ngua-lao-hoa-30ml-1708933258_img_380x380_64adc6_fit_center.png
92.000 ₫,102.000 ₫,10%,,Sữa Rửa Mặt Pond's Sáng Da Cao Cấp 100g,Flawless Radiance Even Tone Facial Foam,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-rua-mat-pond-s-sang-da-cao-cap-100g-1708931082_img_380x380_64adc6_fit_center.png
76.000 ₫,78.000 ₫,3%,,Sữa Rửa Mặt Pond's Sạch Sâu Ngừa Mụn 100g,Acne Clear Facial Foam,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-rua-mat-pond-s-sach-sau-ngua-mun-100g-1708930787_img_380x380_64adc6_fit_center.png
498.000 ₫,,,,"Tinh Chất La Bonita B5 Hỗ Trợ Phục Hồi, Làm Dịu Da 50ml",Panthenol Repair Ampoule,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-tinh-chat-la-bonita-b5-ho-tro-phuc-hoi-lam-diu-da-50ml-1737083485_img_380x380_64adc6_fit_center.jpg
350.000 ₫,,,,"Kem Dưỡng La Bonita HA Cấp Ẩm Sáng Da, Tăng Độ Đàn Hồi 50ml",Vital Hyaluronic Acid Cream,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-duong-la-bonita-ha-cap-am-sang-da-tang-do-dan-hoi-50ml-1737085090_img_380x380_64adc6_fit_center.jpg
398.000 ₫,,,,Serum La Bonita Hyaluronic Acid Cấp Ẩm Dịu Da 50ml,Vital Hyaluronic Acid Serum,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-serum-la-bonita-hyaluronic-acid-cap-am-diu-da-50ml-1737083176_img_380x380_64adc6_fit_center.jpg
350.000 ₫,,,,Kem Dưỡng La Bonita Vitamin K Phục Hồi Da 30ml,Vita K Repair Cream,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-duong-la-bonita-vitamin-k-phuc-hoi-da-30ml-1737086889_img_380x380_64adc6_fit_center.jpg
2.145.000 ₫,,,1,Nước Hoa Nam Giorgio Armani Code Parfum 50ml,Code Parfum Vaporisateur Rechargeable Refillable Spray,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-nuoc-hoa-nam-giorgio-armani-code-parfum-50ml-1734519425_img_380x380_64adc6_fit_center.jpg
1.948.000 ₫,2.401.000 ₫,19%,,Nước Hoa Nữ Giorgio Armani My Way Parfum 30ml,My Way Parfum Vaporisateur Rechargeable Refillable Spray,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-nuoc-hoa-nu-giorgio-armani-my-way-parfum-30ml-1734519335_img_380x380_64adc6_fit_center.jpg
2.401.000 ₫,,,,Nước Hoa Nữ Giorgio Armani My Way EDP 50ml,Eau De Parfum Vaporisateur Spray,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-nuoc-hoa-nu-giorgio-armani-my-way-edp-50ml-1734519280_img_380x380_64adc6_fit_center.jpg
2.042.000 ₫,2.145.000 ₫,5%,,Nước Hoa Nam Giorgio Armani Code EDT 75ml,Eau De Toilette Pour Homme Vaporisateur Natural Spray,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-nuoc-hoa-nam-giorgio-armani-code-edt-75ml-1734515743_img_380x380_64adc6_fit_center.jpg
184.000 ₫,336.000 ₫,45%,1.158,Lăn Khử Mùi EtiaXil Nhãn Xanh Cho Da Nhạy Cảm 15ml,Detranspirant Traitement Roll-On Peaux Sensibles,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-lan-khu-mui-etiaxil-danh-cho-da-nhay-cam-15ml-1731479352_img_380x380_64adc6_fit_center.jpg
319.000 ₫,730.000 ₫,56%,533,Sữa Dưỡng Ẩm Embryolisse Siêu Phục Hồi Da 75ml,Lait-Crème Concentré,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-sieu-duong-am-embryolisse-ho-tro-phuc-hoi-da-75ml_i7bXhCK92AzLDVvD_img_380x380_64adc6_fit_center.png
205.000 ₫,366.000 ₫,44%,506,Sữa Dưỡng Ẩm Embryolisse Siêu Phục Hồi Da 30ml,Lait-Crème Concentré,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-sieu-duong-am-embryolisse-ho-tro-phuc-hoi-da-30ml_zuNhAnFcz26Pxem6_img_380x380_64adc6_fit_center.png
174.000 ₫,336.000 ₫,48%,219,Lăn Khử Mùi EtiaXil Nhãn Đỏ Dành Cho Da Khoẻ 15ml,Detranspirant Extreme Peaux Normales Roll-On,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-lan-khu-mui-etiaxil-danh-cho-da-thuong-15ml-1712717503_img_380x380_64adc6_fit_center.jpg
183.000 ₫,336.000 ₫,46%,203,Lăn Khử Mùi EtiaXil Nhãn Nâu Cho Da Siêu Nhạy Cảm 15ml,Detranspirant Traitement Roll-On Peaux Sensibles Confort,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-lan-khu-mui-etiaxil-danh-cho-da-sieu-nhay-cam-15ml-1716277639_img_380x380_64adc6_fit_center.jpg
211.000 ₫,249.000 ₫,15%,120,Xịt Khử Mùi EtiaXil Dạng Phun Sương 48H Màu Xanh 150ml,Deodorant Anti-Transpirant Protection 48H Aérosol,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-xit-khu-mui-etiaxil-dang-phun-suong-48h-mau-xanh-150ml-1725524051_img_380x380_64adc6_fit_center.jpg
209.000 ₫,333.000 ₫,37%,99,Lăn Khử Mùi EtiaXil Hàng Ngày Cho Mọi Loại Da 50ml,Anti-Transpirant Protection 48h Peaux Sensibles Roll-On,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-lan-khu-mui-etiaxil-hang-ngay-cho-moi-loai-da-50ml-1727078694_img_380x380_64adc6_fit_center.jpg
284.000 ₫,385.000 ₫,26%,35,"Sữa Rửa Mặt Embryolisse Làm Sạch Sâu, Chống Oxy Hóa 200ml",Lait-Creme Moussant,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-rua-mat-embryolisse-lam-sach-sau-chong-oxy-hoa-200ml_fWw4c2w6wr5KtQpE_img_380x380_64adc6_fit_center.png
245.000 ₫,436.000 ₫,44%,33,Lăn Khử Mùi EtiaXil Cho Nam Ngăn Mồ Hôi Chuyên Sâu 15ml,Detranspirant Men Peaux Sensibles Roll-On,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-lan-khu-mui-etiaxil-cho-nam-ngan-mo-hoi-chuyen-sau-15ml-1713770588_img_380x380_64adc6_fit_center.jpg
192.000 ₫,333.000 ₫,42%,26,Xịt Khử Mùi Chân EtiaXil Ngăn Mồ Hôi & Giảm Mùi Hôi 100ml,Deodorant Anti-transpirant 48h Pieds Feet,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-xit-khu-mui-mo-hoi-chan-etiaxil-100ml-1731729119_img_380x380_64adc6_fit_center.png
784.000 ₫,1.116.000 ₫,30%,6,Combo Embryolisse Serum Double HA Cấp Ẩm Đa Tầng 30ml + Sữa Dưỡng Ẩm Siêu Phục Hồi Da 30ml,Hydra Serum + Lait-Crème Concentré,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-embryolisse-serum-double-ha-cap-am-da-tang-30ml-sua-duong-am-sieu-phuc-hoi-da-30ml_r6ScJCKkFRK9HFPU_img_380x380_64adc6_fit_center.png
449.000 ₫,699.000 ₫,36%,10,Kem Chống Nắng Embryolisse Chống UV Phổ Rộng 100ml,Crème Solaire SPF50 PA++++,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-chong-nang-embryolisse-chong-uv-pho-rong-100ml_c4WJvsdNN2ue8DkA_img_380x380_64adc6_fit_center.png
211.000 ₫,333.000 ₫,37%,19,Xịt Khử Mùi EtiaXil Hàng Ngày Dành Cho Nam Nữ 48H 100ml,Deodorant Anti-Transpirant Protection 48H Vaporisateur Sans Gaz,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-xit-khu-mui-etiaxil-100ml-1725524837_img_380x380_64adc6_fit_center.jpg
468.000 ₫,750.000 ₫,38%,6,Serum Embryolisse Double HA Cấp Ẩm Đa Tầng 30ml,Hydra Serum,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-serum-embryolisse-double-ha-cap-am-da-tang-30ml_SUtsdLKPBwFM9VZ2_img_380x380_64adc6_fit_center.png
260.000 ₫,330.000 ₫,21%,6,"Xịt Khoáng JONZAC Cung Cấp Nước, Dưỡng Ẩm Da 300ml",Thermal Spring Water,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-363300003-1698205192_img_380x380_64adc6_fit_center.png
319.000 ₫,441.000 ₫,28%,,Nước Tẩy Trang Embryolisse Cây Phỉ Cho Mọi Loại Da 250ml,Micellar Lotion,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-nuoc-tay-trang-embryolisse-danh-cho-moi-loai-da-250ml_MQYCtPnDfSUJDNbv_img_380x380_64adc6_fit_center.png
395.000 ₫,480.000 ₫,18%,,Sữa Dưỡng Chateau Rouge Làm Sáng Da Cho Mặt & Cơ Thể 400ml,Lait De Beauté Hydratant,https://media.hcdn.vn/catalog/product/g/o/google-shopping-sua-duong-sang-da-chateau-rouge-400ml-1660809094_img_380x380_64adc6_fit_center.jpg
435.000 ₫,660.000 ₫,34%,,"Combo 2 Xịt Khoáng JONZAC Cung Cấp Nước, Dưỡng Ẩm Da 300ml",Thermal Spring Water,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422206927-1700203419_img_380x380_64adc6_fit_center.png
